"hrank","ctry","hd_index","life_exp","exp_edu","yrs_edu","gni","gni_hdi","grank","gi_index","mat_mor","ado_bir","rep_par","sec_edu_m","sec_edu_f","lab_par_m","lab_par_f","sec_edu_ratio","lab_par_ratio"
1,"Norway",0.944,81.6,17.5,12.6,"64,992",5,1,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,0.992813141683778,1.12254901960784
2,"Australia",0.935,82.4,20.2,13,"42,261",17,2,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,1.00318133616119,1.22108843537415
3,"Switzerland",0.93,83,15.8,12.8,"56,431",6,3,0.028,6,1.9,28.5,95,96.6,61.8,74.9,1.01684210526316,1.21197411003236
4,"Denmark",0.923,80.2,18.7,12.7,"44,025",11,4,0.048,5,5.1,38,95.5,96.6,58.7,66.4,1.01151832460733,1.13117546848382
5,"Netherlands",0.922,81.6,17.9,11.9,"45,435",9,5,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,1.03192702394527,1.20683760683761
6,"Germany",0.916,80.9,16.5,13.1,"43,919",11,6,0.041,7,3.8,36.9,96.3,97,53.6,66.4,1.00726895119418,1.23880597014925
6,"Ireland",0.916,80.9,18.6,12.2,"39,568",16,6,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,0.97639751552795,1.28248587570621
8,"United States",0.915,79.1,16.5,12.9,"52,947",3,8,0.28,28,31,19.4,95.1,94.8,56.3,68.9,0.996845425867508,1.22380106571936
9,"Canada",0.913,82,15.9,13,"42,155",11,9,0.129,11,14.5,28.2,100,100,61.6,71,1,1.1525974025974
9,"New Zealand",0.913,81.8,19.2,12.5,"32,689",23,9,0.157,8,25.3,31.4,95,95.3,62,73.8,1.00315789473684,1.19032258064516
